area,country,day,distFromSource,doubtful,hour,latitude,locationName,longitude,minute,month,publish,regionCode,second,sourceCauseCode,sourceEqMagnitude,sourceEventValidity,sourceOceanicTsunami,typeMeasurementId,year,eqMagMb,eqMagMs,intensity,eqDepth,elevation,logrunupHt
MIYAGI,COSTA RICA,13.0,43.547769,n,19.0,9.967,PUNTARENAS,-84.833,31.0,5.0,True,88,42.9,1,6.4,3,True,2,1952,6.88237,7.0,8.530885,35.0,0.0,s
YAMAGUCHI,JAPAN,26.0,1021.829387,n,2.0,33.95,SHIMONOSEKI,130.95,59.0,5.0,True,85,59.6,1,7.8,4,True,2,1983,6.8,7.7,8.0,24.0,0.0,s
AK,USA,15.0,3321.576601,n,11.0,55.337,"SAND POINT, AK",-160.502,14.0,11.0,True,87,13.5,1,8.3,4,True,2,2006,6.5,7.8,8.530885,10.0,15.0,s
HOKKAIDO,JAPAN,16.0,2725.499726,n,0.0,19.08185,"HOKKAIDO, HONSHU, TOHOKU",46.856593,48.0,5.0,True,85,55.4,1,8.2,4,True,2,1968,6.88237,8.009683,6.0,7.0,647.0,s
WESTJAVA,INDONESIA,17.0,202.247384,n,8.0,-7.79392,BULAK BENDA,108.48392,19.0,7.0,True,60,26.0,1,7.7,4,True,4,2006,6.1,7.2,8.530885,20.0,10.0,m
MIYAGI,MYANMAR (BURMA),26.0,1052.288675,n,0.0,12.449,PAHTAW VILLAGE,98.587,58.0,12.0,True,60,53.5,1,9.1,4,True,5,2004,7.0,8.8,8.530885,30.0,0.0,m
COQUIMBO,CHILE,16.0,182.807899,n,22.0,-29.950034,COQUIMBO (WM607),-71.336552,54.0,9.0,True,89,32.9,1,8.3,4,True,10,2015,6.88237,8.009683,9.0,22.0,24.0,m
MIYAZAKI,JAPAN,16.0,17840.31112,n,22.0,31.583,ABURATSU,131.417,54.0,9.0,True,85,32.9,1,8.3,4,True,2,2015,6.88237,8.009683,9.0,22.0,0.0,s
COLIMA,MEXICO,14.0,350.768515,n,11.0,19.05,MANZANILLO,-104.333,7.0,3.0,True,88,16.3,1,7.6,4,True,2,1979,6.5,7.6,8.530885,49.0,0.0,s
MIYAGI,JAPAN,11.0,75.48049,n,5.0,38.296583,"MIYAGI PREFECTURE, TOHOKU REGION",141.510139,46.0,3.0,True,85,24.1,1,9.1,4,True,4,2011,7.2,8.3,8.530885,29.0,8.0,l
MIYAGI,GREECE,30.0,22.571134,n,11.0,37.782954,"ASPROCHORTI, SAMOS (S9-2)",26.981743,51.0,10.0,True,50,27.0,1,7.0,4,True,5,2020,6.88237,8.009683,8.0,21.0,6.0,m
MIYAGI,JAPAN,11.0,97.25833,n,5.0,38.437056,"MIYAGI PREFECTURE, TOHOKU REGION",141.274417,46.0,3.0,True,85,24.1,1,9.1,4,True,4,2011,7.2,8.3,8.530885,29.0,7.0,s
HI,USA,9.0,3567.510061,n,14.0,21.967,"LIHUE AIRPORT, KAUAI, HI",-159.333,22.0,3.0,True,80,31.9,1,8.6,4,True,5,1957,6.88237,9.1,8.530885,33.0,10.0,m
KAGOSHIMA,JAPAN,1.0,223.45319,n,0.0,31.017,ODOMARI,130.683,42.0,4.0,True,85,4.2,1,7.5,4,True,2,1968,6.88237,7.5,7.0,30.0,124.0,s
ICA,PERU,15.0,97.291364,n,23.0,-14.17219,CACLIO,-76.19993,40.0,8.0,True,89,57.8,1,8.0,4,True,5,2007,6.7,7.9,8.0,39.0,9.0,m
KAMCHATKA,RUSSIA,28.0,65.554082,n,10.0,56.37,"USTKAMCHATSK, KAMCHATKA",162.45,37.0,12.0,True,86,53.7,1,6.8,4,True,2,1984,6.2,7.0,8.530885,33.0,0.0,s
COQUIMBO,CHILE,16.0,181.513742,n,22.0,-29.962721,COQUIMBO (WM207),-71.331295,54.0,9.0,True,89,32.9,1,8.3,4,True,10,2015,6.88237,8.009683,9.0,22.0,17.0,m
IBARAKI,JAPAN,11.0,212.15381,n,5.0,36.855472,"IBARAKI PREFECTURE, KANTO REGION",140.795639,46.0,3.0,True,85,24.1,1,9.1,4,True,4,2011,7.2,8.3,8.530885,29.0,10.0,l
ORIENTAL MINDORO,PHILIPPINES,14.0,13.776877,n,19.0,13.414444,IBABA,121.125556,15.0,11.0,True,84,30.6,1,7.1,4,True,5,1994,6.1,7.1,8.530885,32.0,0.0,m
CA,USA,11.0,7560.165945,n,5.0,41.7456,"CRESCENT CITY, CA",-124.184,46.0,3.0,True,88,24.1,1,9.1,4,True,2,2011,7.2,8.3,8.530885,29.0,0.0,m
IWATE,JAPAN,22.0,16968.01073,n,19.0,39.183,OISHI,141.9,11.0,5.0,True,85,17.0,1,9.5,4,True,1,1960,6.88237,8.5,12.0,33.0,62.0,m
MIYAGI,SRI LANKA,11.0,1480.914953,n,8.0,8.567,TRINCOMALEE,81.233,38.0,4.0,True,60,36.7,1,8.6,4,True,2,2012,7.4,8.5,8.530885,20.0,7.0,s
MIYAGI,JAPAN,11.0,135.878244,n,5.0,37.921472,"MIYAGI PREFECTURE, TOHOKU REGION",140.898361,46.0,3.0,True,85,24.1,1,9.1,4,True,4,2011,7.2,8.3,8.530885,29.0,8.0,l
